Name,Artist,Album,Release Date,Popularity,Explicit,Duration (ms),Track ID,Spotify URL
21 Questions,50 Cent,Best Of 50 Cent,2017-03-31,30,False,224200,6t22B6AkDKzc855JzQJPfh,https://open.spotify.com/track/6t22B6AkDKzc855JzQJPfh
So Gone,Monica,After The Storm,2003,62,False,242773,6BIcjFZIVDZxNAcofRFPx4,https://open.spotify.com/track/6BIcjFZIVDZxNAcofRFPx4
No Letting Go,Wayne Wonder,No Holding Back,2003,65,False,202013,5dWfl2PBpKHpBVdz95wxK1,https://open.spotify.com/track/5dWfl2PBpKHpBVdz95wxK1
Baby Boy (feat. Sean Paul),Beyoncé,Dangerously In Love,2003-06-24,69,False,244826,4WY3HyGXsWqjFRCVD6gnTe,https://open.spotify.com/track/4WY3HyGXsWqjFRCVD6gnTe
Magic Stick,Lil' Kim,La Bella Mafia,2003-03-03,46,False,334773,4SVLlDIeY6w5axpMVhy0qH,https://open.spotify.com/track/4SVLlDIeY6w5axpMVhy0qH
The Way You Move - Radio Mix,Outkast,Speakerboxxx/The Love Below,2003-09-23,0,False,233960,4PlSrDUJLEPdmp286lRmx2,https://open.spotify.com/track/4PlSrDUJLEPdmp286lRmx2
My Love Is Like...Wo,Mýa,Moodring,2003-01-01,50,False,209490,3Gamc2D6VSlXpUcmhPUFYt,https://open.spotify.com/track/3Gamc2D6VSlXpUcmhPUFYt
The Jump Off,Lil' Kim,La Bella Mafia,2003-03-03,36,False,234173,1fzT0hWdE1eY9Wb4pEqtgY,https://open.spotify.com/track/1fzT0hWdE1eY9Wb4pEqtgY
Clubbin' (feat. Joe Budden and Pied Piper),Marques Houston,Marques Houston,2003-10-21,41,False,244226,1UmI1kV6HpC56GtcMtV22b,https://open.spotify.com/track/1UmI1kV6HpC56GtcMtV22b
Hey Ya!,Outkast,Speakerboxxx/The Love Below,2003,82,True,235213,2PpruBYCo4H7WOBJ7Q2EwM,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
Right Thurr,Chingy,Jackpot,2003-01-01,0,False,250666,2YXY0uVfVXn15oOVZDji80,https://open.spotify.com/track/2YXY0uVfVXn15oOVZDji80
Never Scared (feat. Killer Mike & T.I.) - Club Mix,Bone Crusher,AttenCHUN!,2003-04-15,55,True,316133,4kmIO0yPq92dXtKCL28RfC,https://open.spotify.com/track/4kmIO0yPq92dXtKCL28RfC
Stunt 101,G-Unit,Stunt 101,2003-01-01,0,False,232880,5uHVTRcdV3iTRVHD1D12ir,https://open.spotify.com/track/5uHVTRcdV3iTRVHD1D12ir
Act A Fool,Ludacris,2 Fast 2 Furious (Soundtrack),2003-05-27,62,True,270733,28mv40MzspRZn0PBcO2itT,https://open.spotify.com/track/28mv40MzspRZn0PBcO2itT
Holidae In,Chingy,Jackpot,2003-01-01,0,False,314413,3D4ujK4uinSZCDwoIYXhKK,https://open.spotify.com/track/3D4ujK4uinSZCDwoIYXhKK
4Ever (feat. Fabolous),Lil' Mo,4 Ever (feat. Fabolous),2003-02-11,49,False,222946,6ubNZ5edKBKH3MQKatUY3S,https://open.spotify.com/track/6ubNZ5edKBKH3MQKatUY3S
Badaboom (feat. Fabolous),B2K,"B2K Presents ""You Got Served"" Soundtrack",2000,45,False,221066,2ZSp1BC7agz2TkgSATdi9U,https://open.spotify.com/track/2ZSp1BC7agz2TkgSATdi9U
"Ooh Wee (feat. Ghostface Killah, Nate Dogg, Trife & Saigon)",Mark Ronson,Here Comes The Fuzz,2003-08-29,15,False,209626,1UYSvddXWHpMuhZiujyLo9,https://open.spotify.com/track/1UYSvddXWHpMuhZiujyLo9
I Want You,Thalia,Thalia,2003-01-01,54,False,226026,1HCPjfa02m5JwcO37LHfYb,https://open.spotify.com/track/1HCPjfa02m5JwcO37LHfYb
One Call Away,Chingy,Jackpot,2003-01-01,64,False,276800,0UNTBB02C1aB55Fu4H63qd,https://open.spotify.com/track/0UNTBB02C1aB55Fu4H63qd
We Belong Together,Mariah Carey,The Emancipation of Mimi,2005-04-12,71,False,201400,3LmvfNUQtglbTrydsdIqFU,https://open.spotify.com/track/3LmvfNUQtglbTrydsdIqFU
Be Without You - Kendu Mix,Mary J. Blige,The Breakthrough,2005-01-01,0,False,246333,2YegxR5As7BeQuVp2U6pek,https://open.spotify.com/track/2YegxR5As7BeQuVp2U6pek
1 Thing,Amerie,Playlist: The Very Best Of Amerie,2008,50,False,238746,6ZyNjT2hYvfV5PuW84dp1E,https://open.spotify.com/track/6ZyNjT2hYvfV5PuW84dp1E
Let Me Hold You (feat. Omarion),Bow Wow,Playlist: The Very Best Of Bow Wow,2010-07-27,40,False,247453,666NLsbWOUP3Lo0Ji5U0FS,https://open.spotify.com/track/666NLsbWOUP3Lo0Ji5U0FS
Gold Digger,Kanye West,Late Registration,2005-08-30,53,False,207626,43PBE5b3RJgwfi1i9xKtEs,https://open.spotify.com/track/43PBE5b3RJgwfi1i9xKtEs
Hate It Or Love It,The Game,The Documentary,2004-01-01,45,False,206440,04GRz5WkRVmPSGuZFJnuma,https://open.spotify.com/track/04GRz5WkRVmPSGuZFJnuma
Candy Shop,50 Cent,The Massacre,2005-03-03,41,False,208973,1Fb0tZ4jWZC9qCnJtVBxgO,https://open.spotify.com/track/1Fb0tZ4jWZC9qCnJtVBxgO
Like You (feat. Ciara),Bow Wow,Wanted,2005,68,False,205840,3jEqrIfwKO0M8ALu3TGilF,https://open.spotify.com/track/3jEqrIfwKO0M8ALu3TGilF
Shake It Off,Mariah Carey,The Emancipation of Mimi,2005-04-12,62,False,232840,4VKnkoNNM6yTb4cXXX3wqD,https://open.spotify.com/track/4VKnkoNNM6yTb4cXXX3wqD
I'm Sprung,T-Pain,Rappa Ternt Sanga,2005,0,False,231040,0F7rEdewJ6cSLylOZZpDu7,https://open.spotify.com/track/0F7rEdewJ6cSLylOZZpDu7
Girlfight - radio edit feat. Big Boi & Lil Jon,Brooke Valentine,Girlfight,2004-01-01,34,False,216800,5pMIsEpL9lx3tACSkxYh1A,https://open.spotify.com/track/5pMIsEpL9lx3tACSkxYh1A
Get It Poppin' (feat. Nelly) - Radio Version,Fat Joe,Get It Poppin' (feat. Nelly) [Radio Version],2005-04-26,36,False,211320,3zdDxhDo5SycC7XSAPfdjv,https://open.spotify.com/track/3zdDxhDo5SycC7XSAPfdjv
Diamonds From Sierra Leone - Remix feat. Jay-Z,Kanye West,Diamonds From Sierra Leone Remix,2005-01-01,26,False,214200,290DH5BclWLihECLilse0o,https://open.spotify.com/track/290DH5BclWLihECLilse0o
Oh (feat. Ludacris),Ciara,Goodies,2004-09-27,66,False,256346,7i7UIbm5E0DD7aSOYvwp2v,https://open.spotify.com/track/7i7UIbm5E0DD7aSOYvwp2v
Back Then,Mike Jones,Who Is Mike Jones?,2005-04-19,43,False,245013,6e5kjwABBy57SPFnGocfRH,https://open.spotify.com/track/6e5kjwABBy57SPFnGocfRH
All Because of You,Marques Houston,Naked,2005-05-05,0,False,212013,43PXNweF6u0LS9N6czAY0M,https://open.spotify.com/track/43PXNweF6u0LS9N6czAY0M
